Track,Topic,Coder1,Coder2,Efron,Dakka,Peetz,Novelty
novelty,98,2,0,0,0,0,1
novelty,99,0,0,0,0,0,0
trec1,100,1,0,0,0,0,0
trec1,76,0,0,0,0,0,0
trec1,77,0,1,0,0,0,0
trec1,78,1,1,0,0,0,0
trec1,79,0,0,0,0,0,0
trec1,80,2,2,0,0,0,0
trec1,81,2,2,0,0,0,0
trec1,82,0,0,0,0,0,0
trec1,83,0,0,0,0,0,0
trec1,84,2,1,0,0,0,0
trec1,85,2,1,0,0,0,0
trec1,86,2,2,0,0,0,0
trec1,87,2,2,0,0,0,0
trec1,88,1,0,0,0,0,0
trec1,89,2,0,0,0,0,0
trec1,90,0,0,0,0,0,0
trec1,91,2,1,0,0,0,0
trec1,92,1,1,0,0,0,0
trec1,93,0,0,0,0,0,0
trec1,94,0,1,0,0,0,0
trec1,95,0,0,0,0,0,0
trec1,96,0,0,0,0,0,0
trec1,97,0,0,0,0,0,0
trec1,98,0,0,0,0,0,0
trec1,99,2,2,0,0,0,0
trec2,126,0,0,0,0,0,0
trec2,127,2,1,0,0,0,0
trec2,128,1,0,0,0,0,0
trec2,129,0,1,0,0,0,0
trec2,130,0,0,0,0,0,0
trec2,131,1,1,0,0,0,0
trec2,132,0,1,1,0,0,0
trec2,133,2,1,1,0,0,0
trec2,134,2,2,0,0,0,0
trec2,135,0,1,0,0,0,0
trec2,136,1,0,0,0,0,0
trec2,137,1,1,1,0,0,0
trec2,138,1,1,0,0,0,0
trec2,139,1,1,1,0,0,0
trec2,140,0,0,1,0,0,0
trec2,141,1,0,0,0,0,0
trec2,142,0,0,0,0,0,0
trec2,143,0,0,0,0,0,0
trec2,144,0,0,0,0,0,0
trec2,145,0,0,0,0,0,0
trec2,146,2,2,0,0,0,0
trec2,147,0,0,0,0,0,0
trec2,148,1,1,1,0,0,0
trec2,149,0,0,0,0,0,0
trec2,150,0,0,0,0,0,0
trec3,176,0,0,0,0,0,0
trec3,177,0,0,0,0,0,0
trec3,178,0,1,0,0,0,0
trec3,179,0,0,0,0,0,0
trec3,180,0,1,0,0,0,0
trec3,181,0,0,0,0,0,0
trec3,182,0,0,0,0,0,0
trec3,183,1,1,0,0,0,0
trec3,184,0,0,0,0,0,0
trec3,185,0,0,0,0,0,0
trec3,186,0,0,0,0,0,0
trec3,187,0,0,0,0,0,0
trec3,188,0,0,1,0,0,0
trec3,189,1,0,0,0,0,0
trec3,190,0,1,0,0,0,0
trec3,191,1,0,0,0,0,0
trec3,192,2,2,1,0,0,0
trec3,193,1,0,0,0,0,0
trec3,194,0,0,0,0,0,0
trec3,195,2,1,1,0,0,0
trec3,196,0,0,1,0,0,0
trec3,197,0,0,0,0,0,0
trec3,198,0,0,0,0,0,0
trec3,199,2,2,1,0,0,0
trec6,326,2,2,1,1,0,0
trec6,327,0,0,0,0,0,0
trec6,328,1,2,0,0,0,0
trec6,329,1,0,1,1,0,0
trec6,330,1,2,0,1,0,0
trec6,331,0,0,1,1,0,0
trec6,332,1,0,0,1,0,0
trec6,333,0,0,0,1,0,0
trec6,334,0,0,1,1,0,0
trec6,335,0,0,0,0,0,0
trec6,336,2,1,0,0,0,0
trec6,337,0,0,1,1,0,0
trec6,338,0,0,0,0,0,0
trec6,339,0,0,1,0,0,0
trec6,340,2,2,1,1,0,0
trec6,341,0,0,0,1,0,0
trec6,342,2,1,0,0,0,0
trec6,343,2,0,0,1,0,0
trec6,344,1,0,0,0,0,0
trec6,345,0,0,1,1,0,0
trec6,346,0,0,1,1,0,0
trec6,347,0,0,0,1,0,0
trec6,348,0,0,0,0,0,0
trec6,349,0,0,0,1,0,0
trec6,350,0,0,0,1,0,0
trec7,376,0,2,1,1,0,0
trec7,377,0,0,0,0,0,0
trec7,378,1,2,1,1,0,0
trec7,379,0,0,0,0,0,0
trec7,380,0,0,0,0,0,0
trec7,381,0,0,0,0,0,0
trec7,382,1,0,0,0,0,0
trec7,383,0,0,0,1,0,0
trec7,384,0,1,0,0,0,0
trec7,385,0,1,0,1,0,0
trec7,386,0,0,0,0,0,0
trec7,387,0,0,1,0,0,0
trec7,388,0,0,0,1,0,0
trec7,389,1,1,1,1,0,0
trec7,390,0,0,0,1,0,0
trec7,391,0,0,1,1,0,0
trec7,392,0,0,0,1,0,0
trec7,393,1,1,0,1,0,0
trec7,394,0,0,0,0,0,0
trec7,395,0,0,0,1,0,0
trec7,396,0,0,0,0,0,0
trec7,397,2,1,0,0,0,0
trec7,398,2,2,0,1,0,0
trec7,399,0,0,0,1,0,0
trec7,400,0,0,0,1,0,0
trec8,426,0,0,0,0,0,0
trec8,427,0,0,0,1,0,0
trec8,428,0,0,1,1,0,0
trec8,429,2,2,0,0,0,0
trec8,430,2,2,0,0,0,0
trec8,431,0,0,0,1,0,0
trec8,432,0,0,0,1,0,0
trec8,433,0,0,0,0,0,0
trec8,434,1,0,1,1,0,0
trec8,435,0,0,0,1,0,0
trec8,436,2,2,0,1,0,0
trec8,437,1,0,1,1,0,0
trec8,438,0,0,0,1,0,0
trec8,439,0,1,0,1,0,0
trec8,440,1,0,0,0,0,0
trec8,441,0,0,0,0,0,0
trec8,442,1,1,0,1,0,0
trec8,443,0,1,1,1,0,0
trec8,444,0,0,0,0,0,0
trec8,445,2,0,1,0,0,0
trec8,446,0,1,1,1,0,0
trec8,447,0,0,0,0,0,0
trec8,448,1,2,0,1,0,0
trec8,449,0,0,1,0,0,0
trec8,450,0,2,1,1,0,0
