Document Title	Package	End	Excerpt Creator	Excerpt Copy	Codes Applied Combined
1992-trec1-adhoc-64.txt	33	48	willis8	Hostage-Taking 	GenericEvent
1992-trec1-adhoc-64.txt	106	142	willis8	politically motivated hostage-taking	GenericEvent
1992-trec1-adhoc-66.txt	192	196	willis8	U.S.	PlaceEntity
1992-trec1-adhoc-67.txt	120	137	willis8	civil disturbance	GenericEvent
1992-trec1-adhoc-67.txt	33	74	willis8	Politically Motivated Civil Disturbances 	GenericEvent
1992-trec1-adhoc-69.txt	124	154	willis8	 U.S. House of Representatives	OrganizationEntity
1992-trec1-adhoc-69.txt	160	168	willis8	European	PlaceEntity
1992-trec1-adhoc-69.txt	191	205	willis8	SALT II Treaty	OtherEntity
1992-trec1-adhoc-69.txt	33	71	willis8	Attempts to Revive the SALT II Treaty 	GenericEvent
1992-trec1-adhoc-69.txt	56	71	willis8	SALT II Treaty 	OtherEntity
1992-trec1-adhoc-69.txt	244	260	willis8	President Reagan	PersonEntity
1992-trec1-adhoc-70.txt	90	123	willis8	judicial proceedings and opinions	GenericEvent
1992-trec1-adhoc-70.txt	33	54	willis8	Surrogate Motherhood 	IndirectEventReference
1992-trec1-adhoc-70.txt	141	162	willis8	surrogate motherhood.	IndirectEventReference
1992-trec1-adhoc-69.txt	191	206	willis8	SALT II Treaty 	IndirectEventReference
1992-trec1-adhoc-69.txt	56	71	willis8	SALT II Treaty 	IndirectEventReference
1992-trec1-adhoc-71.txt	33	50	willis8	Border Incursions	GenericEvent
1992-trec1-adhoc-71.txt	87	195	willis8	"incursions by land, air, or water into the border area of one country by military forces of a second country"	GenericEvent
1992-trec1-adhoc-72.txt	59	63	willis8	U.S.	PlaceEntity
1992-trec1-adhoc-72.txt	33	51	willis8	Demographic Shifts	GenericEvent
1992-trec1-adhoc-72.txt	102	158	willis8	movement of people from one area of the U.S. to another 	GenericEvent
1992-trec1-adhoc-72.txt	142	146	willis8	U.S.	PlaceEntity
1992-trec1-adhoc-73.txt	117	163	willis8	movement of people from one country to another	GenericEvent
1992-trec1-adhoc-73.txt	33	78	willis8	Demographic Shifts across National Boundaries	GenericEvent
1992-trec1-adhoc-74.txt	112	127	willis8	U.S. government	OrganizationEntity
1992-trec1-adhoc-76.txt	33	50	willis8	U.S. Constitution	OtherEntity
1992-trec1-adhoc-78.txt	33	43	willis8	Greenpeace	OrganizationEntity
1992-trec1-adhoc-78.txt	92	102	willis8	Greenpeace	OrganizationEntity
1992-trec1-adhoc-78.txt	80	102	willis8	activity by Greenpeace	GenericEvent
1992-trec1-adhoc-79.txt	33	36	willis8	FRG	OrganizationEntity
1992-trec1-adhoc-79.txt	114	120	willis8	German	PlaceEntity
1992-trec1-adhoc-80.txt	33	37	willis8	1988	ExplicitDate
1992-trec1-adhoc-80.txt	144	148	willis8	1988	ExplicitDate
1992-trec1-adhoc-80.txt	33	72	willis8	1988 Presidential Candidates Platforms 	IndirectEventReference
1992-trec1-adhoc-80.txt	144	172	willis8	1988 presidential  candidate	IndirectEventReference
1992-trec1-adhoc-81.txt	88	91	willis8	PTL	OrganizationEntity
1992-trec1-adhoc-81.txt	197	200	willis8	PTL	OrganizationEntity
1992-trec1-adhoc-81.txt	88	99	willis8	PTL scandal	SpecificEvent
1992-trec1-adhoc-81.txt	197	208	willis8	PTL scandal	SpecificEvent
1992-trec1-adhoc-81.txt	33	50	willis8	Financial crunch 	GenericEvent
1992-trec1-adhoc-81.txt	215	231	willis8	financial crisis	GenericEvent
1992-trec1-adhoc-85.txt	33	53	willis8	Official Corruption 	GenericEvent
1992-trec1-adhoc-85.txt	136	193	willis8	corrupt public officials of any governmental jurisdiction	GenericEvent
1992-trec1-adhoc-86.txt	33	47	willis8	Bank Failures 	GenericEvent
1992-trec1-adhoc-86.txt	117	130	willis8	United States	PlaceEntity
1992-trec1-adhoc-86.txt	84	105	willis8	 recent bank failures	GenericEvent
1992-trec1-adhoc-87.txt	33	49	willis8	Criminal Actions	GenericEvent
1992-trec1-adhoc-87.txt	147	163	willis8	criminal actions	GenericEvent
1992-trec1-adhoc-87.txt	193	196	willis8	U.S	PlaceEntity
1992-trec1-adhoc-87.txt	70	99	willis8	Failed Financial Institutions	IndirectEventReference
1992-trec1-adhoc-87.txt	186	219	willis8	failed U.S. financial institution	IndirectEventReference
1992-trec1-adhoc-89.txt	61	65	willis8	OPEC	OrganizationEntity
1992-trec1-adhoc-89.txt	158	162	willis8	OPEC	OrganizationEntity
1992-trec1-adhoc-91.txt	140	149	willis8	U.S. Army	OrganizationEntity
1992-trec1-adhoc-91.txt	33	43	willis8	U.S. Army 	OrganizationEntity
1992-trec1-adhoc-91.txt	43	83	willis8	Acquisition of Advanced Weapons Systems 	GenericEvent
1992-trec1-adhoc-91.txt	121	187	willis8	acquisition by the U.S. Army of specified advanced weapons systems	GenericEvent
1992-trec1-adhoc-93.txt	55	82	willis8	National Rifle Association 	OrganizationEntity
1992-trec1-adhoc-93.txt	156	189	willis8	"National Rifle Association (NRA),"	OrganizationEntity
1992-trec1-adhoc-99.txt	33	52	willis8	Iran-Contra Affair 	SpecificEvent
1992-trec1-adhoc-99.txt	111	129	willis8	Iran-Contra Affair	SpecificEvent
1997-trec6-adhoc-303.txt	121	137	willis8	Hubble telescope	OtherEntity
1997-trec6-adhoc-303.txt	163	167	willis8	1991	ExplicitDate
1997-trec6-adhoc-303.txt	34	50	willis8	Hubble Telescope	OtherEntity
1997-trec6-adhoc-303.txt	51	63	willis8	Achievements	GenericEvent
1997-trec6-adhoc-303.txt	98	113	willis8	accomplishments	GenericEvent
1997-trec6-adhoc-306.txt	34	41	willis8	African	PlaceEntity
1997-trec6-adhoc-306.txt	42	57	willis8	Civilian Deaths	GenericEvent
1997-trec6-adhoc-306.txt	154	160	willis8	Africa	PlaceEntity
1997-trec6-adhoc-306.txt	83	150	willis8	civilian non-combatants have been killed in  the various civil wars	GenericEvent
1997-trec6-adhoc-317.txt	104	107	willis8	FCC	OrganizationEntity
1997-trec6-adhoc-317.txt	73	136	willis8	regulations been passed by the FCC banning junk facsimile (fax)	GenericEvent
1997-trec6-adhoc-318.txt	89	102	willis8	United States	PlaceEntity
1997-trec6-adhoc-318.txt	180	184	willis8	U.S.	PlaceEntity
1998-trec7-adhoc-351.txt	34	42	willis8	Falkland	PlaceEntity
1998-trec7-adhoc-351.txt	144	158	willis8	South Atlantic	PlaceEntity
1998-trec7-adhoc-351.txt	168	184	willis8	Falkland Islands	PlaceEntity
1998-trec7-adhoc-351.txt	43	66	willis8	petroleum exploration  	GenericEvent
1998-trec7-adhoc-351.txt	114	136	willis8	petroleum exploration 	GenericEvent
1998-trec7-adhoc-352.txt	34	41	willis8	British	PlaceEntity
1998-trec7-adhoc-352.txt	42	49	willis8	Chunnel	OtherEntity
1998-trec7-adhoc-352.txt	94	101	willis8	Chunnel	OtherEntity
1998-trec7-adhoc-352.txt	113	120	willis8	British	PlaceEntity
1998-trec7-adhoc-352.txt	159	166	willis8	British	PlaceEntity
1998-trec7-adhoc-352.txt	34	49	willis8	British Chunnel	IndirectEventReference
1998-trec7-adhoc-353.txt	34	44	willis8	Antarctica	PlaceEntity
1998-trec7-adhoc-353.txt	138	148	willis8	Antarctica	PlaceEntity
1998-trec7-adhoc-353.txt	81	134	willis8	systematic explorations and scientific investigations	GenericEvent
1998-trec7-adhoc-353.txt	45	56	willis8	exploration	GenericEvent
1998-trec7-adhoc-356.txt	58	65	willis8	Britain	PlaceEntity
1998-trec7-adhoc-356.txt	159	166	willis8	Britain	PlaceEntity
1998-trec7-adhoc-357.txt	34	61	willis8	territorial waters dispute 	GenericEvent
1998-trec7-adhoc-357.txt	107	140	willis8	international boundary  disputes 	GenericEvent
1998-trec7-adhoc-357.txt	254	301	willis8	International Convention on the  Law of the Sea	OtherEntity
1998-trec7-adhoc-362.txt	34	49	willis8	human smuggling	GenericEvent
1998-trec7-adhoc-362.txt	88	103	willis8	human smuggling	GenericEvent
1998-trec7-adhoc-363.txt	34	65	willis8	transportation tunnel disasters	GenericEvent
1998-trec7-adhoc-363.txt	87	145	willis8	disasters have occurred in tunnels used for transportation	GenericEvent
1998-trec7-adhoc-365.txt	95	102	willis8	El Nino	PeriodicEvent
1998-trec7-adhoc-365.txt	34	43	willis8	El Nino  	PeriodicEvent
1998-trec7-adhoc-374.txt	34	45	willis8	Nobel prize	PeriodicEvent
1998-trec7-adhoc-374.txt	117	129	willis8	Nobel prize 	PeriodicEvent
1998-trec7-adhoc-400.txt	34	40	willis8	Amazon	PlaceEntity
1998-trec7-adhoc-400.txt	151	157	willis8	Amazon	PlaceEntity
1998-trec7-adhoc-400.txt	108	122	willis8	South American	PlaceEntity
1999-trec8-adhoc-401.txt	54	61	willis8	Germany	PlaceEntity
1999-trec8-adhoc-401.txt	166	173	willis8	Germany	PlaceEntity
1999-trec8-adhoc-404.txt	34	41	willis8	Ireland	PlaceEntity
1999-trec8-adhoc-404.txt	34	56	willis8	"Ireland, peace talks  "	SpecificEvent
1999-trec8-adhoc-404.txt	105	112	willis8	Ireland	PlaceEntity
1999-trec8-adhoc-404.txt	90	113	willis8	peace talks in Ireland 	SpecificEvent
1999-trec8-adhoc-405.txt	34	49	willis8	cosmic events  	GenericEvent
1999-trec8-adhoc-405.txt	69	131	willis8	unexpected or unexplained cosmic events or celestial phenomena	GenericEvent
1999-trec8-adhoc-406.txt	34	53	willis8	Parkinson's disease	OtherEntity
1999-trec8-adhoc-406.txt	115	134	willis8	Parkinson's disease	OtherEntity
1999-trec8-adhoc-408.txt	34	51	willis8	tropical storms  	GenericEvent
1999-trec8-adhoc-408.txt	71	113	willis8	tropical storms (hurricanes and typhoons) 	GenericEvent
1999-trec8-adhoc-409.txt	41	53	willis8	"Pan Am, 103 "	"OtherEntity, IndirectEventReference"
1999-trec8-adhoc-409.txt	74	87	willis8	legal actions	GenericEvent
1999-trec8-adhoc-409.txt	111	190	willis8	"destruction of Pan Am Flight 103 over Lockerbie, Scotland, on December 21, 1988"	SpecificEvent
1999-trec8-adhoc-409.txt	126	143	willis8	Pan Am Flight 103	OtherEntity
1999-trec8-adhoc-409.txt	149	168	willis8	"Lockerbie, Scotland"	PlaceEntity
1999-trec8-adhoc-409.txt	173	190	willis8	"December 21, 1988"	ExplicitDate
1999-trec8-adhoc-410.txt	34	52	willis8	Schengen agreement	OrganizationEntity
1999-trec8-adhoc-410.txt	92	110	willis8	Schengen agreement	OrganizationEntity
1999-trec8-adhoc-410.txt	143	158	willis8	Western Europe 	PlaceEntity
1999-trec8-adhoc-414.txt	34	38	willis8	Cuba	PlaceEntity
1999-trec8-adhoc-414.txt	91	95	willis8	Cuba	PlaceEntity
1999-trec8-adhoc-415.txt	41	58	willis8	Golden Triangle  	PlaceEntity
1999-trec8-adhoc-415.txt	118	133	willis8	Golden Triangle	PlaceEntity
1999-trec8-adhoc-415.txt	151	156	willis8	Burma	PlaceEntity
1999-trec8-adhoc-415.txt	158	166	willis8	Thailand	PlaceEntity
1999-trec8-adhoc-415.txt	171	176	willis8	Laos 	PlaceEntity
1999-trec8-adhoc-415.txt	93	110	willis8	drug trafficking 	GenericEvent
1999-trec8-adhoc-416.txt	34	56	willis8	Three Gorges Project  	OtherEntity
1999-trec8-adhoc-416.txt	97	118	willis8	Three Gorges Project?	OtherEntity
1999-trec8-adhoc-416.txt	34	56	willis8	Three Gorges Project  	IndirectEventReference
1999-trec8-adhoc-423.txt	115	131	willis8	Mirjana Markovic	PersonEntity
1999-trec8-adhoc-423.txt	97	106	willis8	Milosevic	PersonEntity
1999-trec8-adhoc-423.txt	45	62	willis8	Mirjana Markovic 	PersonEntity
1999-trec8-adhoc-423.txt	34	43	willis8	Milosevic	PersonEntity
1993-trec2-adhoc-101.txt	47	88	willis8	" ""Star Wars"" Anti-missile Defense System "	OtherEntity
1993-trec2-adhoc-101.txt	210	249	willis8	"""star wars"" anti-missile defense system"	OtherEntity
1993-trec2-adhoc-101.txt	203	206	willis8	U.S	PlaceEntity
1993-trec2-adhoc-102.txt	67	71	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-102.txt	74	103	willis8	Strategic Defense  Initiative	OtherEntity
1993-trec2-adhoc-102.txt	199	203	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-102.txt	206	234	willis8	Strategic Defense Initiative	OtherEntity
1993-trec2-adhoc-103.txt	122	125	willis8	U.S	PlaceEntity
1993-trec2-adhoc-104.txt	121	125	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-104.txt	126	161	willis8	Catastrophic Health Insurance  Act 	OtherEntity
1993-trec2-adhoc-104.txt	164	168	willis8	l988	ExplicitDate
1993-trec2-adhoc-104.txt	121	168	willis8	U.S. Catastrophic Health Insurance  Act of l988	SpecificEvent
1993-trec2-adhoc-105.txt	34	48	willis8	"""Black Monday"""	SpecificEvent
1993-trec2-adhoc-105.txt	96	158	willis8	"U.S. stock markets crashed on 19 October 1987 (""Black Monday"")"	SpecificEvent
1993-trec2-adhoc-105.txt	126	141	willis8	19 October 1987	ExplicitDate
1993-trec2-adhoc-105.txt	96	100	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-106.txt	34	38	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-106.txt	133	137	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-106.txt	39	65	willis8	Control of Insider Trading	GenericEvent
1993-trec2-adhoc-106.txt	137	195	willis8	 laws and  regulations designed to prevent insider trading	GenericEvent
1993-trec2-adhoc-107.txt	34	42	willis8	Japanese	PlaceEntity
1993-trec2-adhoc-107.txt	111	117	willis8	 Japan	PlaceEntity
1993-trec2-adhoc-107.txt	120	149	willis8	regulation of insider trading	GenericEvent
1993-trec2-adhoc-107.txt	43	72	willis8	Regulation of Insider Trading	GenericEvent
1993-trec2-adhoc-108.txt	34	42	willis8	Japanese	PlaceEntity
1993-trec2-adhoc-108.txt	105	113	willis8	Japanese	PlaceEntity
1993-trec2-adhoc-108.txt	156	161	willis8	Japan	PlaceEntity
1993-trec2-adhoc-109.txt	120	127	willis8	OTC Ltd	OrganizationEntity
1993-trec2-adhoc-109.txt	130	149	willis8	Hi Tech Enterprises	OrganizationEntity
1993-trec2-adhoc-109.txt	151	185	willis8	Minnesota Mining and Manufacturing	OrganizationEntity
1993-trec2-adhoc-109.txt	187	212	willis8	Integrated Solutions Inc.	OrganizationEntity
1993-trec2-adhoc-109.txt	214	239	willis8	MIPS Computer Systems Inc	OrganizationEntity
1993-trec2-adhoc-109.txt	245	269	willis8	Ask Computer Systems Inc	OrganizationEntity
1993-trec2-adhoc-110.txt	64	77	willis8	South African	PlaceEntity
1993-trec2-adhoc-110.txt	159	171	willis8	South Africa	PlaceEntity
1993-trec2-adhoc-110.txt	35	89	willis8	Black Resistance Against the South African Government 	GenericEvent
1993-trec2-adhoc-110.txt	126	219	willis8	efforts by the black majority in South Africa to  overthrow domination by the white minority 	GenericEvent
1993-trec2-adhoc-111.txt	108	122	willis8	United Nations	OrganizationEntity
1993-trec2-adhoc-115.txt	48	52	willis8	1986	ExplicitDate
1993-trec2-adhoc-115.txt	143	186	willis8	Immigration Reform and Control Act of 1986.	SpecificEvent
1993-trec2-adhoc-115.txt	181	185	willis8	1986	ExplicitDate
1993-trec2-adhoc-115.txt	136	140	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-115.txt	48	69	willis8	1986 Immigration Law 	SpecificEvent
1993-trec2-adhoc-117.txt	50	54	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-117.txt	225	229	willis8	U.S.	PlaceEntity
1993-trec2-adhoc-119.txt	34	75	willis8	Actions Against International Terrorists 	GenericEvent
1993-trec2-adhoc-119.txt	111	193	willis8	activities by established political authorities against international terrorists. 	GenericEvent
1993-trec2-adhoc-121.txt	123	128	willis8	U.S. 	PlaceEntity
1993-trec2-adhoc-121.txt	102	167	willis8	death of a prominent U.S. person from a specific form of cancer. 	GenericEvent
1993-trec2-adhoc-121.txt	34	51	willis8	Death from Cancer	GenericEvent
1994-trec3-adhoc-152.txt	76	80	willis8	U.S.	PlaceEntity
1994-trec3-adhoc-152.txt	219	240	willis8	U.S. Military Forces.	OrganizationEntity
1994-trec3-adhoc-152.txt	139	202	willis8	alleged illegality committed by any entity  seeking a contract 	GenericEvent
1994-trec3-adhoc-152.txt	34	57	willis8	Accusations of Cheating	GenericEvent
1994-trec3-adhoc-154.txt	34	45	willis8	Oil Spills 	GenericEvent
1994-trec3-adhoc-154.txt	83	123	willis8	major oil spills throughout the world. 	GenericEvent
1994-trec3-adhoc-155.txt	73	76	willis8	U.S	PlaceEntity
1994-trec3-adhoc-156.txt	223	240	willis8	Second Amendment 	OtherEntity
1994-trec3-adhoc-156.txt	247	265	willis8	U.S. Constitution 	OtherEntity
1994-trec3-adhoc-156.txt	51	75	willis8	Gun Control Legislation 	GenericEvent
1994-trec3-adhoc-156.txt	133	156	willis8	Gun Control Legislation	GenericEvent
1994-trec3-adhoc-158.txt	70	84	willis8	U.S. Congress 	OrganizationEntity
1994-trec3-adhoc-158.txt	232	240	willis8	Congress	OrganizationEntity
1994-trec3-adhoc-162.txt	34	54	willis8	Automobile Recalls  	GenericEvent
1994-trec3-adhoc-162.txt	136	215	willis8	recalls on vehicles manufactured by American or Foreign automobile companies. 	GenericEvent
1994-trec3-adhoc-163.txt	101	114	willis8	South Vietnam	PlaceEntity
1994-trec3-adhoc-163.txt	128	132	willis8	U.S.	PlaceEntity
1994-trec3-adhoc-163.txt	196	208	willis8	Agent Orange	OtherEntity
1994-trec3-adhoc-163.txt	55	68	willis8	Agent Orange 	OtherEntity
1994-trec3-adhoc-163.txt	343	355	willis8	Agent Orange	OtherEntity
1994-trec3-adhoc-163.txt	223	332	willis8	"veterans entitlement, or the awarding of monetary compensation and/or medical assistance for physical damages"	GenericEvent
1994-trec3-adhoc-163.txt	223	333	willis8	"veterans entitlement, or the awarding of monetary compensation and/or medical assistance for physical damages "	IndirectEventReference
1994-trec3-adhoc-164.txt	123	126	willis8	FDA	OrganizationEntity
1994-trec3-adhoc-164.txt	130	143	willis8	Congressional	OrganizationEntity
1994-trec3-adhoc-164.txt	144	220	willis8	investigations concerning illegal activities by generic drug manufacturers. 	GenericEvent
1994-trec3-adhoc-164.txt	50	87	willis8	Illegal Activities by Manufacturers  	GenericEvent
1994-trec3-adhoc-167.txt	229	232	willis8	USA	PlaceEntity
1994-trec3-adhoc-168.txt	44	50	willis8	AMTRAK	OrganizationEntity
1994-trec3-adhoc-168.txt	107	125	willis8	Federal Government	OrganizationEntity
1994-trec3-adhoc-168.txt	160	213	willis8	National Railroad Transportation Corporation (AMTRAK)	OrganizationEntity
1994-trec3-adhoc-170.txt	193	217	willis8	Dow-Corning Corporation 	OrganizationEntity
1994-trec3-adhoc-173.txt	34	47	willis8	Smoking Bans 	GenericEvent
1994-trec3-adhoc-173.txt	93	125	willis8	smoking bans initiated worldwide	GenericEvent
1994-trec3-adhoc-174.txt	108	177	willis8	"Comprehensive Environmental Response, Compensation, and Liability Act"	OtherEntity
1994-trec3-adhoc-174.txt	192	233	willis8	Superfund Hazardous Waste Cleanup Program	OtherEntity
1994-trec3-adhoc-175.txt	34	37	willis8	NRA	OrganizationEntity
1994-trec3-adhoc-175.txt	136	139	willis8	NRA	OrganizationEntity
1994-trec3-adhoc-175.txt	151	201	willis8	actions which prevented the passage of legislation	GenericEvent
1994-trec3-adhoc-175.txt	38	77	willis8	Prevention of Gun Control Legislation  	GenericEvent
2006-blog06-opinion-851.txt	37	60	willis8	"""March of the Penguins"""	OtherEntity
2006-blog06-opinion-851.txt	116	139	willis8	"""March of the Penguins"""	OtherEntity
2006-blog06-opinion-851.txt	37	61	willis8	"""March of the Penguins"" "	IndirectEventReference
2006-blog06-opinion-851.txt	116	139	willis8	"""March of the Penguins"""	IndirectEventReference
2006-blog06-opinion-852.txt	37	50	willis8	larry summers	PersonEntity
2006-blog06-opinion-852.txt	83	114	willis8	Harvard President Larry Summers	PersonEntity
2006-blog06-opinion-852.txt	83	186	willis8	Harvard President Larry Summers' comments on gender differences in aptitude for mathematics and science	SpecificEvent
2006-blog06-opinion-853.txt	37	56	willis8	state of the union 	PeriodicEvent
2006-blog06-opinion-853.txt	88	137	willis8	President Bush's 2006 State of the Union address.	SpecificEvent
2006-blog06-opinion-853.txt	88	102	willis8	President Bush	PersonEntity
2006-blog06-opinion-853.txt	105	109	willis8	2006	ExplicitDate
2006-blog06-opinion-854.txt	37	50	willis8	"""Ann Coulter"""	PersonEntity
2006-blog06-opinion-854.txt	99	110	willis8	Ann Coulter	PersonEntity
2006-blog06-opinion-855.txt	37	45	willis8	abramoff	PersonEntity
2006-blog06-opinion-855.txt	46	50	willis8	bush	PersonEntity
2006-blog06-opinion-855.txt	136	151	willis8	 Jack Abramoff 	PersonEntity
2006-blog06-opinion-855.txt	155	179	willis8	President George W. Bush	PersonEntity
2006-blog06-opinion-856.txt	37	49	willis8	macbook pro 	OtherEntity
2006-blog06-opinion-856.txt	98	109	willis8	Macbook Pro	OtherEntity
2006-blog06-opinion-856.txt	37	49	willis8	macbook pro 	IndirectEventReference
2006-blog06-opinion-856.txt	98	110	willis8	Macbook Pro 	IndirectEventReference
2006-blog06-opinion-857.txt	37	48	willis8	jon stewart	PersonEntity
2006-blog06-opinion-857.txt	81	92	willis8	Jon Stewart	PersonEntity
2006-blog06-opinion-857.txt	96	110	willis8	Comedy Central	OrganizationEntity
2006-blog06-opinion-857.txt	114	128	willis8	The Daily Show	PeriodicEvent
2006-blog06-opinion-858.txt	124	134	willis8	Super Bowl	PeriodicEvent
2006-blog06-opinion-859.txt	46	51	willis8	india	PlaceEntity
2006-blog06-opinion-859.txt	119	124	willis8	India	PlaceEntity
2006-blog06-opinion-860.txt	38	58	willis8	arrested development	PeriodicEvent
2006-blog06-opinion-860.txt	114	134	willis8	Arrested Development	PeriodicEvent
2006-blog06-opinion-861.txt	37	49	willis8	mardi gras  	PeriodicEvent
2006-blog06-opinion-861.txt	108	118	willis8	Mardi Gras	PeriodicEvent
2006-blog06-opinion-862.txt	37	47	willis8	blackberry	OtherEntity
2006-blog06-opinion-862.txt	76	86	willis8	Blackberry	OtherEntity
2006-blog06-opinion-863.txt	37	44	willis8	netflix	OtherEntity
2006-blog06-opinion-863.txt	110	117	willis8	Netflix	OtherEntity
2006-blog06-opinion-864.txt	37	52	willis8	colbert report 	PeriodicEvent
2006-blog06-opinion-864.txt	88	102	willis8	Comedy Central	OrganizationEntity
2006-blog06-opinion-864.txt	109	127	willis8	The Colbert Report	PeriodicEvent
2006-blog06-opinion-865.txt	37	43	willis8	basque	PlaceEntity
2006-blog06-opinion-865.txt	95	100	willis8	Spain	PlaceEntity
2006-blog06-opinion-865.txt	103	109	willis8	Basque	PlaceEntity
2006-blog06-opinion-865.txt	110	130	willis8	separatist movements	GenericEvent
2006-blog06-opinion-866.txt	38	49	willis8	Whole Foods	OrganizationEntity
2006-blog06-opinion-866.txt	131	142	willis8	Whole Foods	OrganizationEntity
2006-blog06-opinion-867.txt	37	43	willis8	cheney	PersonEntity
2006-blog06-opinion-867.txt	37	51	willis8	cheney hunting	SpecificEvent
2006-blog06-opinion-867.txt	84	105	willis8	Vice President Cheney	PersonEntity
2006-blog06-opinion-867.txt	84	160	willis8	Vice President Cheney's quail-hunting trip on which a companion was wounded.	SpecificEvent
2006-blog06-opinion-868.txt	38	58	willis8	joint strike fighter	OtherEntity
2006-blog06-opinion-868.txt	132	152	willis8	Joint Strike Fighter	OtherEntity
2006-blog06-opinion-869.txt	37	45	willis8	muhammad	PersonEntity
2006-blog06-opinion-869.txt	37	54	willis8	muhammad cartoon 	SpecificEvent
2006-blog06-opinion-869.txt	123	146	willis8	Muslim prophet Muhammad	PersonEntity
2006-blog06-opinion-869.txt	160	166	willis8	Danish	PlaceEntity
2006-blog06-opinion-869.txt	100	178	willis8	cartoons depicting the Muslim prophet Muhammad printed in a Danish newspaper. 	SpecificEvent
2006-blog06-opinion-870.txt	38	49	willis8	barry bonds	PersonEntity
2006-blog06-opinion-870.txt	126	137	willis8	Barry Bonds	PersonEntity
2006-blog06-opinion-870.txt	83	138	willis8	alleged use of steroids by baseball player Barry Bonds.	SpecificEvent
2006-blog06-opinion-871.txt	37	51	willis8	cindy sheehan 	PersonEntity
2006-blog06-opinion-871.txt	96	109	willis8	Cindy Sheehan	PersonEntity
2006-blog06-opinion-871.txt	117	157	willis8	 demonstrations she has been involved in	GenericEvent
2006-blog06-opinion-872.txt	37	55	willis8	brokeback mountain	OtherEntity
2006-blog06-opinion-872.txt	115	133	willis8	Brokeback Mountain	OtherEntity
2006-blog06-opinion-872.txt	37	55	willis8	brokeback mountain	IndirectEventReference
2006-blog06-opinion-872.txt	115	133	willis8	Brokeback Mountain	IndirectEventReference
